"","FID","Municipality","idarea","X","Date","n","base","typeI","typeII","typeIII","typeIV"
"7171","9","VIGA",10,809,"2022-08-24",2,2.40975457081621,2.35187713293974,1.18387184519953,2.41011158752595,2.40445294671715
"7172","9","VIGA",10,810,"2022-08-25",2,2.37488625852547,2.28362161285674,1.13904511470046,2.37525249638712,2.37409339780244
"7173","9","VIGA",10,811,"2022-08-26",2,2.28183835814197,2.19443461371538,1.04878907622273,2.28221401935019,2.28196914907762
"7174","9","VIGA",10,812,"2022-08-27",2,2.10451366077501,2.07074081407401,1.10061016550486,2.10482088963888,2.10654115235276
"7175","9","VIGA",10,813,"2022-08-28",2,1.96027683340343,1.95860659893882,1.02119511982976,1.96041691022085,1.96312859451691
"7176","9","VIGA",10,814,"2022-08-29",2,1.81827788810254,1.84685501343737,0.948095292842898,1.81831331041923,1.81811544622436
"7177","9","VIGA",10,815,"2022-08-30",2,1.70742635417342,1.75208995494548,0.913668590506309,1.70756371505209,1.70704087855754
"7178","9","VIGA",10,816,"2022-08-31",2,1.59332210164347,1.65976518648083,0.851308455596642,1.5938925143172,1.59515899054749
"7179","9","VIGA",10,817,"2022-09-01",0,1.5398322615189,1.11282412826743,0.567620909208509,1.5396726295786,1.54042814017536
"7180","9","VIGA",10,818,"2022-09-02",0,1.52748082026412,1.08924824819759,0.539612062201133,1.5271369464216,1.52736376711872
"7181","9","VIGA",10,819,"2022-09-03",0,1.50599057626278,1.06717437901086,0.54421526007569,1.50578377967335,1.50448056048934
"7182","9","VIGA",10,820,"2022-09-04",0,1.50042657890409,1.05205556308279,0.529594100988317,1.50021347147837,1.49716414755426
"7183","9","VIGA",10,821,"2022-09-05",0,1.47919231490252,1.03196442374433,0.50806483866633,1.47885883847527,1.47871293485439
"7184","9","VIGA",10,822,"2022-09-06",0,1.43881559321751,1.0089981542166,0.482041325249847,1.4387337058497,1.43888976751764
"7185","9","VIGA",10,823,"2022-09-07",0,1.38458365662108,0.978543649349393,0.555968164236033,1.38451734701762,1.38593380361652
"7186","9","VIGA",10,824,"2022-09-08",0,1.33283297600575,0.945862033075482,0.535498011588953,1.33277846285793,1.3347784125897
"7187","9","VIGA",10,825,"2022-09-09",0,1.27239213132413,0.907483462317885,0.512859641573131,1.27228533949951,1.27223197468063
"7188","9","VIGA",10,826,"2022-09-10",0,1.19252654942051,0.859851870138796,0.495461339112774,1.19247789519399,1.19218474394926
"7189","9","VIGA",10,827,"2022-09-11",0,1.08269866180701,0.799355732568998,0.440933793273146,1.08275546037366,1.08387464293594
"7190","9","VIGA",10,828,"2022-09-12",0,1.00310871604407,0.751640825776607,0.299485813644264,1.00317376454525,1.00347061365863
"7191","9","VIGA",10,829,"2022-09-13",0,0.945279589452802,0.715843579932341,0.26279521871772,0.945385739426737,0.94521947957497
"7192","9","VIGA",10,830,"2022-09-14",0,0.897296642422598,0.687545630465364,0.256499973043544,0.897381513393373,0.896445725364426
"7193","9","VIGA",10,831,"2022-09-15",0,0.877189542496313,0.673778556111726,0.242398929982653,0.877303213987378,0.875350653696652
"7194","9","VIGA",10,832,"2022-09-16",0,0.880175881982697,0.672638957465388,0.237954933027816,0.880313618547202,0.879948143803355
"7195","9","VIGA",10,833,"2022-09-17",0,0.906956560873848,0.683978341445739,0.241041741523094,0.90705264420503,0.907038323316719
"7196","9","VIGA",10,834,"2022-09-18",0,0.954404920717015,0.706786956381012,0.322921810053081,0.954451609424796,0.95538033229033
"7197","9","VIGA",10,835,"2022-09-19",0,1.01328449829122,0.735818737975452,0.34481831967649,1.01328289201857,1.01480637832166
