Date,Municipality,Latitude,Longitude,NewCases,Deaths,Recoveries
2021-03-28,BATO,13.6080363,124.2977872,0.0,0.0,2.0
2021-03-28,PANDAN,14.0492274,124.1702111,0.0,0.0,1.0
2021-03-28,BAGAMANOC,13.9396368,124.2878298,0.0,0.0,1.0
2021-03-29,VIRAC,13.5803594,124.2312028,2.0,0.0,0.0
2021-03-29,SAN ANDRES,13.5989151,124.0969685,2.0,0.0,0.0
2021-03-30,SAN ANDRES,13.5989151,124.0969685,1.0,0.0,0.0
2021-03-30,VIRAC,13.5803594,124.2312028,1.0,0.0,0.0
2021-04-01,VIRAC,13.5803594,124.2312028,2.0,0.0,0.0
2021-04-01,CARAMORAN,13.9838351,124.1338718,1.0,0.0,0.0
2021-04-01,SAN ANDRES,13.5989151,124.0969685,2.0,0.0,0.0
2021-04-03,VIGA,13.8715307,124.3087305,1.0,0.0,0.0
2021-04-03,VIRAC,13.5803594,124.2312028,4.0,0.0,0.0
2021-04-04,PANGANIBAN,13.9081674,124.30082,0.0,0.0,1.0
2021-04-04,SAN ANDRES,13.5989151,124.0969685,1.0,0.0,3.0
2021-04-04,BARAS,13.6591045,124.3704682,1.0,0.0,0.0
2021-04-04,VIRAC,13.5803594,124.2312028,1.0,0.0,2.0
2021-04-05,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
2021-04-07,VIRAC,13.5803594,124.2312028,1.0,0.0,0.0
2021-04-07,PANDAN,14.0492274,124.1702111,0.0,1.0,0.0
2021-04-07,SAN ANDRES,13.5989151,124.0969685,0.0,1.0,0.0
2021-04-08,VIRAC,13.5803594,124.2312028,1.0,0.0,0.0
2021-04-08,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
2021-04-08,SAN ANDRES,13.5989151,124.0969685,1.0,0.0,0.0
2021-04-08,BARAS,13.6591045,124.3704682,1.0,0.0,0.0
2021-04-08,CARAMORAN,13.9838351,124.1338718,1.0,0.0,0.0
2021-04-09,VIGA,13.8715307,124.3087305,1.0,0.0,0.0
2021-04-10,CARAMORAN,13.9838351,124.1338718,1.0,0.0,0.0
2021-04-10,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
2021-04-11,VIRAC,13.5803594,124.2312028,1.0,0.0,2.0
2021-04-11,SAN ANDRES,13.5989151,124.0969685,0.0,0.0,1.0
2021-04-11,BATO,13.6080363,124.2977872,1.0,0.0,1.0
2021-04-11,VIGA,13.8715307,124.3087305,0.0,0.0,1.0
2021-04-11,CARAMORAN,13.9838351,124.1338718,0.0,0.0,1.0
2021-04-15,CARAMORAN,13.9838351,124.1338718,1.0,0.0,0.0
2021-04-15,VIRAC,13.5803594,124.2312028,1.0,0.0,0.0
2021-04-15,PANGANIBAN,13.9081674,124.30082,1.0,0.0,0.0
2021-04-16,BARAS,13.6591045,124.3704682,1.0,0.0,0.0
2021-04-18,CARAMORAN,13.9838351,124.1338718,0.0,0.0,1.0
2021-04-18,VIGA,13.8715307,124.3087305,0.0,0.0,1.0
2021-04-18,BATO,13.6080363,124.2977872,0.0,0.0,1.0
2021-04-18,SAN ANDRES,13.5989151,124.0969685,0.0,0.0,4.0
2021-04-18,VIRAC,13.5803594,124.2312028,0.0,0.0,9.0
2021-04-19,SAN ANDRES,13.5989151,124.0969685,0.0,0.0,1.0
2021-04-19,BATO,13.6080363,124.2977872,1.0,0.0,0.0
2021-04-19,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
2021-04-19,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,0.0
2021-04-19,VIRAC,13.5803594,124.2312028,1.0,0.0,1.0
2021-04-19,BARAS,13.6591045,124.3704682,1.0,0.0,1.0
