,Date,Municipality,Latitude,Longitude,NewCases,Deaths,Recoveries
176,2022-08-11,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
177,2022-08-13,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
178,2022-08-27,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
179,2023-05-12,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,0.0
180,2023-05-29,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,0.0
181,2023-06-03,BAGAMANOC,13.9396368,124.2878298,2.0,0.0,0.0
182,2020-06-22,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,0.0
183,2020-07-25,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,0.0
184,2020-08-09,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,0.0
185,2020-10-19,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,0.0
186,2020-10-20,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,0.0
187,2021-03-04,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,0.0
188,2021-04-19,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,0.0
189,2021-04-25,BAGAMANOC,13.9396368,124.2878298,4.0,0.0,0.0
190,2021-04-27,BAGAMANOC,13.9396368,124.2878298,2.0,0.0,0.0
191,2021-04-29,BAGAMANOC,13.9396368,124.2878298,4.0,0.0,0.0
192,2021-05-02,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,0.0
193,2021-05-06,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,0.0
194,2021-05-09,BAGAMANOC,13.9396368,124.2878298,2.0,0.0,0.0
195,2021-06-19,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,0.0
196,2021-06-21,BAGAMANOC,13.9396368,124.2878298,2.0,0.0,0.0
197,2021-06-24,BAGAMANOC,13.9396368,124.2878298,4.0,0.0,0.0
198,2021-06-25,BAGAMANOC,13.9396368,124.2878298,5.0,0.0,0.0
199,2021-06-27,BAGAMANOC,13.9396368,124.2878298,2.0,0.0,0.0
200,2021-07-01,BAGAMANOC,13.9396368,124.2878298,6.0,0.0,0.0
201,2021-07-03,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,4.0
202,2021-07-05,BAGAMANOC,13.9396368,124.2878298,4.0,0.0,0.0
203,2021-07-08,BAGAMANOC,13.9396368,124.2878298,4.0,0.0,0.0
204,2021-07-16,BAGAMANOC,13.9396368,124.2878298,3.0,0.0,0.0
205,2021-07-17,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,4.0
206,2021-07-21,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,0.0
207,2021-07-22,BAGAMANOC,13.9396368,124.2878298,3.0,0.0,0.0
208,2021-07-24,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,0.0
209,2021-07-25,BAGAMANOC,13.9396368,124.2878298,3.0,0.0,3.0
210,2021-07-26,BAGAMANOC,13.9396368,124.2878298,4.0,0.0,0.0
211,2021-07-29,BAGAMANOC,13.9396368,124.2878298,4.0,0.0,0.0
