"","PSGC","Municipality","idarea","Date","n","exp","base","typeI","typeII","typeIII","typeIV"
"4111",502006000,"Pandan",6,"2022-04-06",1,4.55973739828155,0.395754399842055,0.33415018853393,0.26557163598086,0.395909752167847,0.395797812832081
"4112",502006000,"Pandan",6,"2022-04-07",1,4.55973739828155,0.395950884712913,0.333888357258401,0.263867808638572,0.3960906153196,0.396156476853983
"4113",502006000,"Pandan",6,"2022-04-08",1,4.55973739828155,0.396357838149818,0.333604131098008,0.254091484551977,0.396504007695874,0.396702287754956
"4114",502006000,"Pandan",6,"2022-04-09",1,4.55973739828155,0.397104430979505,0.333253634995482,0.254084632875818,0.397260375768513,0.397260344920479
"4115",502006000,"Pandan",6,"2022-04-10",1,4.55973739828155,0.398429892220995,0.332782627012566,0.264527726636039,0.398582591612541,0.398603315742548
"4116",502006000,"Pandan",6,"2022-04-11",1,4.55973739828155,0.396750432725597,0.330840294120346,0.267081056576094,0.396901172859429,0.397021430901498
"4117",502006000,"Pandan",6,"2022-04-12",1,4.55973739828155,0.39554349964343,0.329184400897533,0.265268522982218,0.395694874726016,0.395676622020419
"4118",502006000,"Pandan",6,"2022-04-13",1,4.55973739828155,0.394429408347499,0.327214795137133,0.267900517570411,0.394557941830624,0.394599236233875
"4119",502006000,"Pandan",6,"2022-04-14",1,4.55973739828155,0.393064873267652,0.324630385032568,0.267243713244373,0.393201274929915,0.393247696248976
"4120",502006000,"Pandan",6,"2022-04-15",1,4.55973739828155,0.387564170643045,0.323202149858227,0.267403387467873,0.387721293809388,0.387499962442772
"4121",502006000,"Pandan",6,"2022-04-16",1,4.55973739828155,0.383671661630152,0.321679074726168,0.266046681601863,0.383815670266665,0.383723963782033
"4122",502006000,"Pandan",6,"2022-04-17",1,4.55973739828155,0.38017132230312,0.319837136353449,0.266669604513999,0.380316141622357,0.380212383700947
"4123",502006000,"Pandan",6,"2022-04-18",1,4.55973739828155,0.376017225102987,0.317402682142188,0.264020331174955,0.376146271817138,0.376207925289788
"4124",502006000,"Pandan",6,"2022-04-19",1,4.55973739828155,0.370020834338583,0.314028560071943,0.253458927259088,0.370155517433748,0.370335981686735
"4125",502006000,"Pandan",6,"2022-04-20",1,4.55973739828155,0.360562273670995,0.309238663954787,0.24759856495108,0.360713005915267,0.360699153308909
"4126",502006000,"Pandan",6,"2022-04-21",1,4.55973739828155,0.352339736992706,0.304420651474988,0.250093805637601,0.352480831252062,0.352489836773999
"4127",502006000,"Pandan",6,"2022-04-22",1,4.55973739828155,0.346511324222655,0.300347968528436,0.250804240423474,0.34664966820256,0.346747767410236
"4128",502006000,"Pandan",6,"2022-04-23",1,4.55973739828155,0.341390144695218,0.296423106779625,0.245228877723559,0.341528246281743,0.341506697233516
"4129",502006000,"Pandan",6,"2022-04-24",1,4.55973739828155,0.338984327891941,0.293620777418293,0.248580857816225,0.339103225490987,0.339135520102357
"4130",502006000,"Pandan",6,"2022-04-25",1,4.55973739828155,0.335208913514573,0.290247509414279,0.248037868242859,0.335340834399206,0.335373221065727
"4131",502006000,"Pandan",6,"2022-04-26",1,4.55973739828155,0.332459038898008,0.287576818994849,0.248959120006685,0.332600057052139,0.332407721925798
"4132",502006000,"Pandan",6,"2022-04-27",1,4.55973739828155,0.329996628758294,0.285228394594314,0.247431766247483,0.330121626382672,0.330042900405731
"4133",502006000,"Pandan",6,"2022-04-28",1,4.55973739828155,0.327183781991866,0.282876517028983,0.247553516472492,0.327305881066317,0.327221562462546
"4134",502006000,"Pandan",6,"2022-04-29",1,4.55973739828155,0.323315864952819,0.28020286055509,0.246217320747915,0.323421908920693,0.323479250955794
"4135",502006000,"Pandan",6,"2022-04-30",1,4.55973739828155,0.317463561544589,0.276854779381523,0.237790260445519,0.317577187586801,0.317731203002988
