,Municipality/City,Province,Latitude,Longitude
342,Baao,Camarines Sur,13.4531948,123.3663867
343,Balatan,Camarines Sur,13.316667,123.233333
344,Bato,Camarines Sur,13.3572515,123.3677422
345,Bombon,Camarines Sur,13.6858046,123.1989068
346,Buhi,Camarines Sur,13.4342347,123.5171171
347,Bula,Camarines Sur,13.4683491,123.2778401
348,Cabusao,Camarines Sur,13.7273308,123.1126991
349,Calabanga,Camarines Sur,13.708545,123.2157561
350,Camaligan,Camarines Sur,13.6210464,123.1639475
351,Canaman,Camarines Sur,13.6475888,123.1705562
352,Caramoan,Camarines Sur,13.7681398,123.8624978
353,Del Gallego,Camarines Sur,13.9225812,122.5938087
354,Gainza,Camarines Sur,13.6162259,123.1402591
355,Garchitorena,Camarines Sur,13.8818495,123.6977233
356,Goa,Camarines Sur,13.6973443,123.4885073
357,Iriga,Camarines Sur,13.4222626,123.4129406
358,Lagonoy,Camarines Sur,13.7353849,123.520948
359,Libmanan,Camarines Sur,13.6960365,123.0612123
360,Lupi,Camarines Sur,13.790532,122.9106882
361,Magarao,Camarines Sur,13.6607081,123.1851888
362,Milaor,Camarines Sur,13.5958839,123.1780699
363,Minalabac,Camarines Sur,13.5688948,123.1816453
364,Nabua,Camarines Sur,13.4075246,123.3730644
365,Naga,Camarines Sur,13.6244,123.1864
366,Ocampo,Camarines Sur,13.5581721,123.3729397
367,Pamplona,Camarines Sur,13.5922305,123.0826876
368,Pasacao,Camarines Sur,13.5102072,123.0411504
369,Pili,Camarines Sur,13.5561041,123.2741192
370,Presentacion,Camarines Sur,13.7101578,123.7456585
371,Ragay,Camarines Sur,13.8210634,122.78763
372,Sagñay,Camarines Sur,13.6033934,123.5227082
373,San Fernando,Camarines Sur,13.5644173,123.1443199
374,San Jose,Camarines Sur,13.6981652,123.5181339
375,Sipocot,Camarines Sur,13.766636,122.9785788
376,Siruma,Camarines Sur,14.0205642,123.2586653
377,Tigaon,Camarines Sur,13.6303411,123.4965413
378,Tinambac,Camarines Sur,13.8183125,123.3253366
379,Catarman,Camiguin,9.1245495,124.6758412
380,Guinsiliban,Camiguin,9.0965036,124.7848761
381,Mahinog,Camiguin,9.1539005,124.7879606
382,Mambajao,Camiguin,9.2456944,124.7269435
383,Sagay,Camiguin,9.1046249,124.7248182
384,Cuartero,Capiz,11.3411591,122.6694276
385,Dao,Capiz,11.3940224,122.6852422
386,Dumalag,Capiz,11.3042392,122.6214871
387,Dumarao,Capiz,11.2632048,122.6872028
388,Ivisan,Capiz,11.521667,122.690833
389,Jamindan,Capiz,11.4089123,122.5105924
390,Ma-ayon,Capiz,11.3871513,122.7811911
391,Mambusao,Capiz,11.430179,122.5971448
392,Panay,Capiz,11.555244,122.7933288
393,Panitan,Capiz,11.4631934,122.7687618
394,Pilar,Capiz,11.4861234,122.9963607
395,Pontevedra,Capiz,11.4818484,122.8327477
396,President Roxas,Capiz,11.4298506,122.9250508
397,Roxas,Capiz,11.5895171,122.7500577
398,Sapian,Capiz,11.4941867,122.6039848
399,Sigma,Capiz,11.4211672,122.6658275
400,Tapaz,Capiz,11.2620268,122.5358792
401,Bagamanoc,Catanduanes,13.9396368,124.2878298
402,Baras,Catanduanes,13.6591045,124.3704682
403,Bato,Catanduanes,13.6080363,124.2977872
404,Caramoran,Catanduanes,13.9838351,124.1338718
405,Gigmoto,Catanduanes,13.7786693,124.3911728
406,Pandan,Catanduanes,14.0492274,124.1702111
407,Panganiban,Catanduanes,13.9081674,124.30082
408,San Andres,Catanduanes,13.5989151,124.0969685
409,San Miguel,Catanduanes,13.6403293,124.3031092
410,Viga,Catanduanes,13.8715307,124.3087305
411,Virac,Catanduanes,13.5803594,124.2312028
412,Alfonso,Cavite,14.1380464,120.8554205
413,Amadeo,Cavite,14.1698511,120.9217943
414,Bacoor,Cavite,14.458816,120.959579
415,Carmona,Cavite,14.3134763,121.0573969
416,Cavite City,Cavite,14.4833969,120.9088359
417,Dasmariñas,Cavite,14.3270819,120.9370871
418,General Emilio Aguinaldo,Cavite,14.1843333,120.7964033
419,General Mariano Alvarez,Cavite,14.2954628,121.0070814
420,General Trias,Cavite,14.386013,120.8802597
421,Imus,Cavite,14.4290116,120.9365911
422,Indang,Cavite,14.1958306,120.8784148
423,Kawit,Cavite,14.4443142,120.9033242
424,Magallanes,Cavite,14.1874692,120.7573248
425,Maragondon,Cavite,14.2741589,120.7350728
426,Mendez,Cavite,14.1300751,120.9051427
427,Naic,Cavite,14.3193877,120.7641212
428,Noveleta,Cavite,14.4275127,120.8808394
429,Rosario,Cavite,14.4167644,120.8553541
430,Silang,Cavite,14.223624,120.9741497
431,Tagaytay,Cavite,14.1032297,120.9317903
432,Tanza,Cavite,14.4012163,120.8580466
433,Ternate,Cavite,14.286321,120.7160241
434,Trece Martires,Cavite,14.2811668,120.8702367
435,Alcantara,Cebu,9.970227,123.4029243
436,Alcoy,Cebu,9.7087266,123.5073652
