"","PSGC","Municipality","idarea","Date","n","exp","base","typeI","typeII","typeIII"
"7554",405617000,"General Nakar",11,"2021-09-11",6,6.73703274057715,1.3149238156873,1.06437112488771,0.909744497498538,1.98956377034434
"7555",405617000,"General Nakar",11,"2021-09-12",2,6.73703274057715,1.33675877046636,0.722354264395145,0.659456906499852,2.06020156598232
"7556",405617000,"General Nakar",11,"2021-09-13",2,6.73703274057715,1.3022710189071,0.719082171022476,0.64098948322239,1.97723917447483
"7557",405617000,"General Nakar",11,"2021-09-14",6,6.73703274057715,1.18742413780784,1.05245425162924,0.896209830715425,1.79407078439134
"7558",405617000,"General Nakar",11,"2021-09-15",6,6.73703274057715,1.19052647984444,1.05849817989876,0.895699924642788,1.79935893505017
"7559",405617000,"General Nakar",11,"2021-09-16",8,6.73703274057715,1.30461770550903,1.27505330627181,1.08490641900608,1.96016469437524
"7560",405617000,"General Nakar",11,"2021-09-17",8,6.73703274057715,1.4829895560183,1.30006734738168,1.13922288737171,2.24013914187454
"7561",405617000,"General Nakar",11,"2021-09-18",8,6.73703274057715,1.37881281869118,1.29382037940052,1.14233714230489,2.05857116188737
"7562",405617000,"General Nakar",11,"2021-09-19",4,6.73703274057715,1.32319197532006,0.909687843230737,0.878420145624904,1.9785598908349
"7563",405617000,"General Nakar",11,"2021-09-20",3,6.73703274057715,1.35826926831563,0.829876985247574,0.822014526516198,2.04546371732023
"7564",405617000,"General Nakar",11,"2021-09-21",3,6.73703274057715,1.34080613623532,0.832991787311326,0.82814267648579,2.03172083703497
"7565",405617000,"General Nakar",11,"2021-09-22",7,6.73703274057715,1.285841427623,1.20103234476825,1.16725240514942,1.96912337006683
"7566",405617000,"General Nakar",11,"2021-09-23",8,6.73703274057715,1.36963208309209,1.30827704959524,1.27066521004662,2.06118653235153
"7567",405617000,"General Nakar",11,"2021-09-24",7,6.73703274057715,1.39707023516642,1.20402434687015,1.18142723696256,2.10830352761798
"7568",405617000,"General Nakar",11,"2021-09-25",6,6.73703274057715,1.28885099595537,1.09938351228186,1.07443417833175,1.9417581891375
"7569",405617000,"General Nakar",11,"2021-09-26",2,6.73703274057715,1.2187622100607,0.735872043437325,0.750868945060729,1.84163189769673
"7570",405617000,"General Nakar",11,"2021-09-27",4,6.73703274057715,1.22860299443573,0.899319037198026,0.791333976859813,1.90489754076746
"7571",405617000,"General Nakar",11,"2021-09-28",3,6.73703274057715,1.02250512377306,0.7907708872792,0.662135166458564,1.53656779050155
"7572",405617000,"General Nakar",11,"2021-09-29",3,6.73703274057715,1.0412901143863,0.783857404350398,0.653003735397997,1.60465782706746
"7573",405617000,"General Nakar",11,"2021-09-30",3,6.73703274057715,1.08136784759152,0.783434097820117,0.65861972797461,1.68150240433416
"7574",405617000,"General Nakar",11,"2021-10-01",3,6.73703274057715,1.05753812230859,0.779217987417866,0.574491816581948,1.62174658850662
"7575",405617000,"General Nakar",11,"2021-10-02",5,6.73703274057715,1.1374591521937,0.951078647187733,0.722170000167588,1.36681602363878
"7576",405617000,"General Nakar",11,"2021-10-03",13,6.73703274057715,0.981946962000298,1.71416330798329,1.36267678056021,1.50097258884853
"7577",405617000,"General Nakar",11,"2021-10-04",12,6.73703274057715,0.928228742251193,1.58236450372306,1.28965115365407,1.18208826209047
"7578",405617000,"General Nakar",11,"2021-10-05",12,6.73703274057715,0.881969091619708,1.56307585453488,1.30249923678901,1.3567923771646
"7579",405617000,"General Nakar",11,"2021-10-06",12,6.73703274057715,0.898966130331007,1.56270723486471,1.27173993727126,1.39550402231046
"7580",405617000,"General Nakar",11,"2021-10-07",12,6.73703274057715,0.92549022685628,1.56759346961652,1.31148887034906,1.43862218029015
"7581",405617000,"General Nakar",11,"2021-10-08",12,6.73703274057715,0.946731839905089,1.56570055791587,1.26781243752263,1.49058279541257
"7582",405617000,"General Nakar",11,"2021-10-09",13,6.73703274057715,0.87768875691354,1.64545629409478,1.4945727182347,1.38359321817389
