DateRepConf,count
2021-02-17,1
2021-02-16,1
2021-02-15,1
2021-02-13,1
2022-10-16,1
2021-02-09,1
2022-10-19,1
2022-10-24,1
2021-02-05,1
2022-11-01,1
2022-11-05,1
2022-11-09,1
2022-09-21,1
2021-04-05,1
2021-07-07,1
2022-09-15,1
2022-08-15,1
2022-08-16,1
2021-06-02,1
2021-05-30,1
2021-05-22,1
2021-05-08,1
2021-05-01,1
2021-04-30,1
2022-08-24,1
2021-04-28,1
2022-08-26,1
2022-08-27,1
2021-04-16,1
2022-09-06,1
2021-04-09,1
2022-09-08,1
2022-09-09,1
2021-04-07,1
2022-09-11,1
2020-06-06,1
